clinic_id,name,town,operator,landkreis,regierungsbezirk,status,versorgungsstufe,traegerart,beds,day_places,fachrichtungen,parse_quality,source,website,careers_url,ats_type
16104,kbo-Heckscher-Klinikum Ingolstadt,Ingolstadt,kbo-Heckscher-Klinikum gGmbH,Kreisfreie Stadt Ingolstadt,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,0,15,KJP,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://kbo-heckscher-klinikum.de,https://kbo-heckscher-klinikum.de/arbeiten-bei-uns,typo3_jobs
16105,Danuvius Klinik Ingolstadt,Ingolstadt,Danuvius Klinik GmbH,Kreisfreie Stadt Ingolstadt,Oberbayern,Plan-KH,Fachkrankenhaus,privat,0,15,PSY,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.danuviusklinik.de,https://www.danuviusklinik.de/karriere/,softgarden
16106,"kbo-Heckscher-Klinikum Ingolstadt, Transitionspsychiatrie",Ingolstadt,kbo-Heckscher-Klinikum gGmbH,Kreisfreie Stadt Ingolstadt,Oberbayern,Bedarfsfeststellung,-,oeffentlich,0,0,,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,,
16107,Zentrum für psychische Gesundheit (ZPG) Ingolstadt,Ingolstadt,kbo-Donau-Altmühl-Kliniken gGmbH,Kreisfreie Stadt Ingolstadt,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,275,50,PSO|PSY,new_2026_verified,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",,https://kbo.de/karriere/jobboerse?tx_solr%5Bfilter%5D%5B0%5D=jobLocation%3Akbo-Donau-Altm%C3%BChl-Kliniken,
16201,München Klinik Schwabing,München,München Klinik gGmbH,Landeshauptstadt München,Oberbayern,Plan-KH,Maximalversorgung (III),oeffentlich,521,53,CHI|GUG|HNO|INN|KCH|KIN|NCH,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.muenchen-klinik.de,https://www.muenchen-klinik.de/stellenmarkt/,
16202,München Klinik Harlaching,München,München Klinik gGmbH,Landeshauptstadt München,Oberbayern,Plan-KH,Maximalversorgung (III),oeffentlich,660,48,CHI|GUG|INN|KIN|NCH|NEU|PSO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.muenchen-klinik.de,https://www.muenchen-klinik.de/jobs/,
16203,München Klinik Neuperlach,München,München Klinik gGmbH,Landeshauptstadt München,Oberbayern,Plan-KH,Maximalversorgung (III),oeffentlich,545,68,CHI|INN|HD,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.muenchen-klinik.de,https://www.muenchen-klinik.de/stellenmarkt/,
16204,München Klinik Thalkirchner Straße,München,München Klinik gGmbH,Landeshauptstadt München,Oberbayern,Plan-KH,Fachkrankenhaus,oeffentlich,150,40,HUG,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.muenchen-klinik.de,https://www.muenchen-klinik.de/jobs/,
16205,München Klinik Bogenhausen,München,München Klinik gGmbH,Landeshauptstadt München,Oberbayern,Plan-KH,Maximalversorgung (III),oeffentlich,,47,CHI|HCH|INN|NCH|NEU|URO,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",https://www.muenchen-klinik.de,https://www.muenchen-klinik.de/jobs/,
16207,HELIOS Klinikum München West,München,HELIOS Kliniken GmbH,Landeshauptstadt München,Oberbayern,Plan-KH,Schwerpunkt (II),privat,412,0,CHI|GUG|HNO|INN|MKG|NEU,ok,"Krankenhausplan Bayern 2026 (51. Fortschreibung), StMGP",http://www.helios-gesundheit.de,,
